Building Name,Elevator Name,Datetime,Year,Month,Day,Hour,Minute,Second,OpTime,Command,Current Floor,Velocity,Altimeter,Distance,ERD,ESD,ED,Labels
SejongAI,EV1,1719225377,2024,6,24,19,36,17,54,STOP,2,0.000000,-32.000000,22.987500,27952.700160,5200.204597,33152.904757,None
SejongAI,EV2,1719225379,2024,6,24,19,36,19,55,STOP,-2,0.000000,-44.500000,10.237500,35930.165040,4769.207566,40699.372606,None
SejongAI,EV1,1719225381,2024,6,24,19,36,21,58,REARRANGE,2,0.000000,-32.000000,22.987500,27952.700160,5200.204597,33152.904757,None
SejongAI,EV2,1719225383,2024,6,24,19,36,23,59,REARRANGE,-2,0.000000,-44.500000,10.237500,35930.165040,4769.207566,40699.372606,None
SejongAI,EV1,1719225386,2024,6,24,19,36,26,63,STOP,4,0.000000,-25.000000,29.975000,47906.886720,4122.143421,52029.030141,None
SejongAI,EV1,1719225390,2024,6,24,19,36,30,67,REARRANGE,4,0.000000,-25.000000,29.975000,47906.886720,4122.143421,52029.030141,None
SejongAI,EV2,1719225394,2024,6,24,19,36,34,71,STOP,5,0.000000,-22.000000,32.725000,52032.435840,3899.253136,55931.688976,None
SejongAI,EV3,1719225395,2024,6,24,19,36,35,71,STOP,6,0.000000,-19.000000,35.987500,27952.700160,5200.204597,33152.904757,None
SejongAI,EV1,1719225396,2024,6,24,19,36,36,73,STOP,7,0.000000,-16.000000,38.712500,62030.577840,3359.085353,65389.663193,None
SejongAI,EV2,1719225398,2024,6,24,19,36,38,75,IDLE,5,0.000000,-22.000000,32.725000,48685.689360,4080.067194,52765.756554,None
SejongAI,EV1,1719225401,2024,6,24,19,36,41,78,REARRANGE,7,0.000000,-16.000000,38.712500,62030.577840,3359.085353,65389.663193,None
SejongAI,EV3,1719225401,2024,6,24,19,36,41,78,REARRANGE,6,0.000000,-19.000000,35.987500,27952.700160,5200.204597,33152.904757,None
SejongAI,EV1,1719225406,2024,6,24,19,36,46,82,STOP,9,0.000000,-10.000000,44.450000,73628.422560,2732.490724,76360.913284,None
SejongAI,EV1,1719225410,2024,6,24,19,36,50,86,IDLE,9,0.000000,-10.000000,44.450000,70197.481200,2917.853563,73115.334763,None
SejongAI,EV3,1719225412,2024,6,24,19,36,52,89,STOP,12,0.000000,1.000000,55.975000,42518.414400,4413.265427,46931.679827,None
SejongAI,EV3,1719225416,2024,6,24,19,36,56,93,IDLE,12,0.000000,1.000000,55.975000,40245.152640,4536.082523,44781.235163,None
