Number,Current Time,Trip Time,Velocity,Altimeter,Closest Upper Floor,Closest Lower Floor
1,11:00:05.100,00:00.1,0.125,-54.99375,B4,B5
2,11:00:05.200,00:00.2,0.25,-54.975,B4,B5
3,11:00:05.300,00:00.3,0.375,-54.94375,B4,B5
4,11:00:05.400,00:00.4,0.5,-54.9,B4,B5
5,11:00:05.500,00:00.5,0.625,-54.84375,B4,B5
6,11:00:05.600,00:00.6,0.75,-54.775,B4,B5
7,11:00:05.700,00:00.7,0.875,-54.69375,B4,B5
8,11:00:05.800,00:00.8,1,-54.6,B4,B5
9,11:00:05.900,00:00.9,1.125,-54.49375,B4,B5
10,11:00:06.000,0:00:01,1.25,-54.375,B4,B5
11,11:00:06.100,00:01.1,1.375,-54.24375,B4,B5
12,11:00:06.200,00:01.2,1.5,-54.1,B4,B5
13,11:00:06.300,00:01.3,1.625,-53.94375,B4,B5
14,11:00:06.400,00:01.4,1.75,-53.775,B4,B5
15,11:00:06.500,00:01.5,1.875,-53.59375,B4,B5
16,11:00:06.600,00:01.6,2,-53.4,B4,B5
17,11:00:06.700,00:01.7,2.125,-53.19375,B4,B5
18,11:00:06.800,00:01.8,2.25,-52.975,B4,B5
19,11:00:06.900,00:01.9,2.375,-52.74375,B4,B5
20,11:00:07.000,0:00:02,2.5,-52.5,B4,B5
21,11:00:07.100,00:02.1,2.5,-52.25,B4,B5
22,11:00:07.200,00:02.2,2.5,-52,B4,B5
23,11:00:07.300,00:02.3,2.5,-51.75,B4,B5
24,11:00:07.400,00:02.4,2.5,-51.5,B4,B4
25,11:00:07.500,00:02.5,2.5,-51.25,B3,B4
26,11:00:07.600,00:02.6,2.5,-51,B3,B4
27,11:00:07.700,00:02.7,2.5,-50.75,B3,B4
28,11:00:07.800,00:02.8,2.5,-50.5,B3,B4
29,11:00:07.900,00:02.9,2.5,-50.25,B3,B4
30,11:00:08.000,0:00:03,2.5,-50,B3,B4
31,11:00:08.100,00:03.1,2.5,-49.75,B3,B4
32,11:00:08.200,00:03.2,2.5,-49.5,B3,B4
33,11:00:08.300,00:03.3,2.5,-49.25,B3,B4
34,11:00:08.400,00:03.4,2.5,-49,B3,B4
35,11:00:08.500,00:03.5,2.5,-48.75,B3,B4
36,11:00:08.600,00:03.6,2.5,-48.5,B3,B4
37,11:00:08.700,00:03.7,2.5,-48.25,B3,B4
38,11:00:08.800,00:03.8,2.5,-48,B3,B3
39,11:00:08.900,00:03.9,2.5,-47.75,B2,B3
40,11:00:09.000,0:00:04,2.5,-47.5,B2,B3
41,11:00:09.100,00:04.1,2.5,-47.25,B2,B3
42,11:00:09.200,00:04.2,2.5,-47,B2,B3
43,11:00:09.300,00:04.3,2.5,-46.75,B2,B3
